"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41255146,133557085,1,19-NOV-20,2,"C",2,5,40,"F",1,2,"R","","",40,0
2020,41249885,133552023,1,25-DEC-20,2,"N",27,5,41,"F",1,2,"R","","",41,0
2020,40933550,132437138,1,20-NOV-20,2,"N",51,5,66,"M",1,,"","","",66,0
2020,40938156,132437539,1,31-OCT-20,3,"N",29,5,33,"M",1,2,"R","","",33,0
2020,40938230,132437654,1,14-OCT-20,2,"N",49,5,50,"M",2,2,"R","","",50,0
2020,40615078,131359885,1,08-OCT-20,1,"N",51,5,41,"M",1,2,"N","","",41,0
2020,40615092,131365029,1,10-NOV-20,2,"N",23,5,37,"F",1,2,"R","","",37,0
2020,40610910,131359787,1,13-OCT-20,2,"N",16,5,56,"M",1,2,"","","",56,0
2020,40610938,131359806,1,18-OCT-20,2,"N",45,5,15,"M",1,2,"R","R","",15,0
2020,40610943,131359806,2,18-OCT-20,2,"N",45,5,21,"M",1,2,"R","","",21,0
2020,40610993,131364996,1,19-OCT-20,2,"N",51,5,38,"M",1,,"R","","",38,0
2020,40615087,131359916,1,14-OCT-20,2,"N",23,5,57,"M",1,2,"N","","",57,0
2020,40611046,131360041,1,26-JUL-20,2,"N",44,5,27,"M",1,2,"R","","",27,0
2020,40615265,131365738,1,31-JUL-20,2,"N",23,5,31,"F",1,2,"R","","",31,0
2020,40611404,131360625,1,29-AUG-20,1,"N",44,5,33,"M",1,2,"N","","",33,0
2020,40611407,131360630,1,05-AUG-20,2,"N",51,5,33,"F",1,1,"N","","",33,0
2020,40611412,131366192,1,13-NOV-20,3,"C",16,5,58,"F",1,2,"R","","",58,0
2020,40610912,131359779,1,30-SEP-20,2,"N",51,5,20,"F",1,,"N","","",20,0
2020,40610913,131359779,2,04-NOV-20,2,"N",51,5,24,"F",1,,"N","","",24,0
2020,40611016,131359934,1,15-OCT-20,2,"N",23,5,52,"F",1,,"R","","",52,0
2020,40611024,131359950,1,24-OCT-20,2,"N",23,5,40,"M",1,2,"R","","",40,0
2020,40615109,131365082,1,26-OCT-20,1,"N",51,5,17,"M",1,2,"R","R","",17,0
2020,40933702,132437591,1,01-AUG-20,1,"N",51,5,40,"M",1,2,"R","","",40,0
2020,40938246,132437677,1,28-NOV-20,2,"N",51,5,19,"M",2,2,"R","","",19,0
2020,40938247,132437681,1,20-NOV-20,2,"C",51,5,34,"M",1,2,"N","","",34,0
2020,40933774,132437758,1,16-NOV-20,2,"N",51,5,60,"M",1,2,"N","","",60,0
2020,40611142,131360194,1,04-AUG-20,3,"N",49,5,34,"M",1,2,"N","","",34,0
2020,40615348,131366217,1,24-SEP-20,2,"N",3,5,17,"M",1,2,"R","H","",17,0
2020,40615351,131360688,1,30-OCT-20,1,"N",51,5,29,"M",1,2,"R","","",29,0
2020,41641824,134759220,1,03-JUL-20,1,"M",40,5,29,"M",1,2,"R","","",29,0
2020,41638060,134754291,1,31-DEC-20,2,"N",23,5,29,"M",1,2,"R","","",29,0
2020,41641580,134758526,1,25-JUL-20,1,"N",44,4,,"F",1,,"R","","",,
2020,41641606,134754355,1,29-AUG-20,3,"N",27,5,63,"M",1,2,"R","","",63,0
2020,41638168,134758757,1,01-FEB-21,1,"M",16,5,31,"F",2,,"R","","",31,0
2020,41638269,134754791,1,29-JAN-21,2,"C",51,5,29,"M",1,2,"R","","",29,0
2020,41638404,134759264,1,09-AUG-20,2,"N",51,5,32,"M",1,2,"R","","",32,0
2020,41250035,133557680,2,20-DEC-20,2,"N",16,5,40,"M",1,2,"R","","",40,0
