"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,129197356,16,8,,143964790
2020,129197367,20,1400,,143964797
2020,129197372,20,1800,,143964801
2020,129201048,38,250,,143964804
2020,129197379,8,32,,143964806
2020,129201052,8,21,08-MAY-20,143967974
2020,129197380,8,21,,143964807
2020,129197382,7,400,,143967979
2020,129197382,16,500,,143967977
2020,129201062,20,58,,143967982
2020,129201065,10,,,143967986
2020,129201067,6,50,,143967991
2020,129201067,8,15,,143967992
2020,129201073,10,,,143967997
2020,129197398,63,275,,143964831
2020,129201080,38,2947,,143964834
2020,129197235,38,449,,143967826
2020,128432000,20,1226,,143035904
2020,128432067,10,340,,143035983
2020,128432069,10,340,24-MAR-20,143035988
2020,128432137,42,500,,143036059
2020,128432141,63,460,,143036066
2020,128432324,20,200,,143036267
2020,128432372,35,300,,143036318
2020,128432765,42,72,,143036768
2020,128432765,63,23,,143036769
2020,128432787,63,50,,143036794
2020,128432811,10,,,143036817
2020,128432846,38,115,,143036855
2020,128432896,42,900,,143036908
2020,128432917,63,150,,143036930
2020,126000296,3,1097,,139911178
2020,126000307,42,1000,,139917901
2020,126005065,20,100,,139917938
2020,126004864,63,300,,139917710
2020,126000244,19,8,,139917830
2020,126000244,17,246,,139911127
2020,126000251,20,1517,,139911132
2020,126000272,20,2000,,139911156
2020,126000299,63,100,,139911181
2020,126000159,30,50,,139911036
2020,126928906,35,25,,141107748
2020,127665842,34,200,,142039593
2020,127665847,4,1,,142039599
2020,127665852,63,260,,142039602
2020,127665757,10,,,142045133
2020,127665831,38,500,,142045192
2020,127663715,20,1500,,142045211
2020,127663742,63,0,,142039647
2020,127663742,10,,,142039645
2020,127663750,20,8000,,142039654
2020,127665936,39,1200,,142039688
2020,127663828,63,30,,142045346
2020,130885813,13,300,,146090296
2020,130881710,7,1500,,146092675
2020,130881717,8,8,,146092683
2020,130885839,61,400,,146090324
2020,130885839,63,200,,146092682
2020,130885839,17,50,,146090325
2020,130885879,63,35,,146090363
2020,130885879,13,300,,146090362
2020,130885888,2,21,,146092759
2020,130881802,63,65,,146090394
2020,130885918,16,50,,146092796
2020,130885918,20,2,,146092797
2020,130885968,63,2000,,146092846
2020,130881895,63,100,,146092874
2020,130881936,63,50,,146092913
2020,130886065,63,5124,,146092954
2020,130882050,38,200,,146090647
2020,130882067,20,1235,,146093056
2020,130886679,7,40,,146091330
2020,130886687,26,200,,146091342
2020,130886701,16,200,,146091356
2020,126928899,33,65,,141107740
2020,126928901,52,0,,141107742
2020,127665891,33,50,,142039642
2020,127663745,10,43,,142039650
2020,127665905,32,100,,142045258
2020,131792632,24,4000,,147214601
2020,131792661,50,17,,147214639
2020,131788740,63,50,,147217604
2020,131788763,2,40,,147217629
2020,131792723,61,500,,147214703
2020,131792719,38,4483,,147214700
2020,131792736,10,,,147214711
2020,131792768,20,200,,147214748
2020,131792765,3,70,,147214746
2020,131792786,63,400,,147214769
2020,131792806,25,5,,147214791
2020,131788860,2,8,,147217749
2020,131788898,10,500,,147217793
2020,131792842,25,45,,147214837
2020,131792845,3,200,,147214848
2020,131792842,63,10,,147214843
2020,131792842,20,50,,147214834
2020,131792842,9,0,,147214845
2020,131788900,38,50,,147217796
2020,131788903,38,50,30-SEP-20,147217800
2020,131792868,20,22,,147217817
2020,131788922,19,56,03-OCT-20,147217825
2020,131792872,19,56,,147217824
2020,131792895,20,5,,147214912
2020,131792905,8,22,,147214923
2020,131792921,10,,,147217849
2020,131788947,20,475,,147217852
2020,131792954,63,140,12-SEP-20,147214982
2020,131792952,63,140,,147214981
2020,126931886,20,200,,141107980
2020,126931886,13,100,,141103281
2020,126929289,9,0,,141108116
2020,126929288,9,0,20-APR-20,141108115
2020,126929445,2,25,,141108279
2020,126934843,63,50,05-MAY-20,141103728
2020,126934838,63,100,,141108690
2020,128431742,20,1800,17-JUN-20,143035636
2020,128431738,20,1800,,143035633
2020,128431758,9,0,,143035664
2020,128431758,20,100,,143035660
2020,128431758,63,80,,143035662
2020,128431778,38,500,,143035684
2020,128431810,63,50,,143035718
2020,128431847,20,500,,143035759
2020,128431856,39,1000,,143035769
2020,128431861,16,16,,143035774
2020,128431868,20,7000,,143035781
2020,128431914,20,3225,,143035831
2020,128432101,10,,,143036024
2020,128432101,63,4,,143036019
2020,128432101,61,6,,143036016
2020,128432114,3,2500,,143036039
2020,128432162,8,5,,143036085
2020,128432211,4,900,,143036136
2020,128432237,20,5,,143036166
2020,128432262,25,20,10-JUN-20,143036200
2020,128432261,25,20,,143036199
2020,128432662,52,0,,143036631
2020,127665844,16,1200,,142045201
